repo,issue,title,price_label,time_label,priority_label,comments,updated_at,cleanup_flag,first_paid_action
ubiquity/ubiquity-dollar,https://github.com/ubiquity/ubiquity-dollar/issues/997,Integrate Liquity V1 Stability Pool for LUSD Collateral Yield,Price: 1200 USD,Time: <1 Day,Priority: 4 (Urgent),30,2026-04-28T00:35:28Z,crowded-thread; needs-status-summarization; priced-priority-visible; public-github-only,$150 cleanup + 7-day public-signal monitor
ubiquity/ubiquity-dollar,https://github.com/ubiquity/ubiquity-dollar/issues/926,Formal verification,Price: 300 USD,Time: <1 Day,Priority: 1 (Normal),29,2026-04-22T05:12:52Z,crowded-thread; needs-status-summarization; priced-priority-visible; public-github-only,$150 cleanup + 7-day public-signal monitor
ubiquity/arbitrage-bot,https://github.com/ubiquity/arbitrage-bot/issues/7,Multi Chain Arbitrage,Price: 400 USD,Time: <1 Week,Priority: 1 (Normal),3,2026-04-22T04:59:54Z,priced-priority-visible; public-github-only,$100 status/duplicate cleanup table
ubiquity/pay.ubq.fi,https://github.com/ubiquity/pay.ubq.fi/issues/433,Phase 3: Update database types and improve type safety,Price: 37.5 USD,Time: <1 Hour,Priority: 1 (Normal),8,2026-04-22T04:27:16Z,priced-priority-visible; public-github-only,$100 status/duplicate cleanup table
ubiquity/business-development,https://github.com/ubiquity/business-development/issues/89,Opire,Price: 400 USD,Time: <1 Day,Priority: 3 (High),8,2026-04-22T04:26:18Z,priced-priority-visible; public-github-only,$100 status/duplicate cleanup table
ubiquity/ubiquity-dollar,https://github.com/ubiquity/ubiquity-dollar/issues/984,Add `UUSD` and `UBQ` tokens to popular services,Price: 2400 USD,Time: <1 Week,Priority: 4 (Urgent),38,2026-04-20T21:08:47Z,crowded-thread; needs-status-summarization; priced-priority-visible; public-github-only,$150 cleanup + 7-day public-signal monitor
ubiquity/ubiquity-dollar,https://github.com/ubiquity/ubiquity-dollar/issues/972,CI: fix `check_storage_layout` for new contracts,Price: 300 USD,Time: <1 Day,Priority: 1 (Normal),33,2026-04-20T11:28:24Z,crowded-thread; needs-status-summarization; priced-priority-visible; public-github-only,$150 cleanup + 7-day public-signal monitor
ubiquity/uusd.ubq.fi,https://github.com/ubiquity/uusd.ubq.fi/issues/47,CoWSwap Integration Improvements,Price: 75 USD,Time: <2 Hours,Priority: 1 (Normal),3,2026-04-10T20:21:06Z,priced-priority-visible; public-github-only,$100 status/duplicate cleanup table
ubiquity/business-development,https://github.com/ubiquity/business-development/issues/90,GitHub Based Marketing,Price: 200 USD,Time: <1 Day,Priority: 3 (High),12,2026-04-09T07:12:46Z,needs-status-summarization; priced-priority-visible; public-github-only,$100 status/duplicate cleanup table
ubiquity/.github,https://github.com/ubiquity/.github/issues/123,New Proposal Router,Price: 300 USD,Time: <1 Day,Priority: 1 (Normal),20,2026-04-09T07:10:51Z,needs-status-summarization; priced-priority-visible; public-github-only,$100 status/duplicate cleanup table
ubiquity/ubiquity-dollar,https://github.com/ubiquity/ubiquity-dollar/issues/937,Final Pre-Seed/Seed Investor Debt UBQ,Price: 450 USD,Time: <4 Hours,Priority: 3 (High),34,2026-04-09T07:10:25Z,crowded-thread; needs-status-summarization; priced-priority-visible; public-github-only,$150 cleanup + 7-day public-signal monitor
ubiquity/ubiquity-dollar,https://github.com/ubiquity/ubiquity-dollar/issues/831,Governance Token emissions to `ubq.eth` new strategy,Price: 600 USD,Time: <1 Week,Priority: 1 (Normal),40,2026-04-09T06:32:10Z,crowded-thread; needs-status-summarization; priced-priority-visible; public-github-only,$150 cleanup + 7-day public-signal monitor
