repo,issue,title,url,labels,comments,updated_at,amount_signal,queue_signal,recommended_paid_output
potpie-ai/potpie,224,Create a CLI for using potpie locally,https://github.com/potpie-ai/potpie/issues/224,💎 Bounty,16,2026-04-30T21:26:10Z,,crowded,"sponsor/maintainer bounty queue cleanup row: status, duplicate/noise risk, next action, contributor-facing note"
getkyo/kyo,390,gRPC Support,https://github.com/getkyo/kyo/issues/390,enhancement;new API;💎 Bounty,116,2026-04-30T19:41:58Z,,crowded,"sponsor/maintainer bounty queue cleanup row: status, duplicate/noise risk, next action, contributor-facing note"
tscircuit/schematic-trace-solver,29,New Phase To combine same-net trace segments that are close together,https://github.com/tscircuit/schematic-trace-solver/issues/29,💎 Bounty;$100,48,2026-04-30T17:27:52Z,$100,crowded,"sponsor/maintainer bounty queue cleanup row: status, duplicate/noise risk, next action, contributor-facing note"
tscircuit/schematic-trace-solver,34,Merge same-net trace lines that are close together (make at the same Y or same X),https://github.com/tscircuit/schematic-trace-solver/issues/34,💎 Bounty;$100,53,2026-04-30T16:42:38Z,$100,crowded,"sponsor/maintainer bounty queue cleanup row: status, duplicate/noise risk, next action, contributor-facing note"
keephq/keep,2112,[🔌 Provider]: SNMP provider,https://github.com/keephq/keep/issues/2112,Provider;💎 Bounty;$4.5k,73,2026-04-30T15:37:47Z,$4.5k,crowded,"sponsor/maintainer bounty queue cleanup row: status, duplicate/noise risk, next action, contributor-facing note"
archestra-ai/archestra,3854,Add audit log to UI,https://github.com/archestra-ai/archestra/issues/3854,💎 Bounty;$250;Reserved for SE interview,7,2026-04-30T13:59:56Z,$250,active,"sponsor/maintainer bounty queue cleanup row: status, duplicate/noise risk, next action, contributor-facing note"
archestra-ai/archestra,3858,Agent template catalog,https://github.com/archestra-ai/archestra/issues/3858,💎 Bounty;Reserved for SE interview;$450,8,2026-04-30T12:31:39Z,$450,active,"sponsor/maintainer bounty queue cleanup row: status, duplicate/noise risk, next action, contributor-facing note"
archestra-ai/archestra,4076,UI improvements,https://github.com/archestra-ai/archestra/issues/4076,💎 Bounty;$100,20,2026-04-30T12:21:26Z,$100,crowded,"sponsor/maintainer bounty queue cleanup row: status, duplicate/noise risk, next action, contributor-facing note"
archestra-ai/archestra,3012,"Chat reloading caused lost messages, duplicated and other weirdness",https://github.com/archestra-ai/archestra/issues/3012,bug;💎 Bounty;$150,8,2026-04-30T11:41:50Z,$150,active,"sponsor/maintainer bounty queue cleanup row: status, duplicate/noise risk, next action, contributor-facing note"
zio/zio-schema,674,Unable to publishLocal on Windows 11 using Scala 3,https://github.com/zio/zio-schema/issues/674,💎 Bounty,8,2026-04-30T10:45:27Z,,active,"sponsor/maintainer bounty queue cleanup row: status, duplicate/noise risk, next action, contributor-facing note"
zio/zio-json,1071,Error when reading json array file?,https://github.com/zio/zio-json/issues/1071,bug;help wanted;💎 Bounty,13,2026-04-30T10:45:26Z,,crowded,"sponsor/maintainer bounty queue cleanup row: status, duplicate/noise risk, next action, contributor-facing note"
archestra-ai/archestra,3603,"Feature Idea: Granular LLM Budgeting (Per-User, Per-Key, and Global)",https://github.com/archestra-ai/archestra/issues/3603,💎 Bounty;$150;Reserved for SE interview,5,2026-04-30T10:19:30Z,$150,active,"sponsor/maintainer bounty queue cleanup row: status, duplicate/noise risk, next action, contributor-facing note"
archestra-ai/archestra,3857,Support different k8s cluster or namespace for Personal MCP Servers so they cannot damage production cluster,https://github.com/archestra-ai/archestra/issues/3857,💎 Bounty;$200;Reserved for SE interview,10,2026-04-30T10:08:12Z,$200,crowded,"sponsor/maintainer bounty queue cleanup row: status, duplicate/noise risk, next action, contributor-facing note"
coollabsio/coolify,8042,[Enhancement]: OAUTH only self registering.,https://github.com/coollabsio/coolify/issues/8042,💎 Bounty;🔍 Triage;✨ Enhancement;$50,44,2026-04-30T05:21:36Z,$50,crowded,"sponsor/maintainer bounty queue cleanup row: status, duplicate/noise risk, next action, contributor-facing note"
tscircuit/circuitjson.com,79,"Update dependencies (runframe, circuit-json etc.) to latest version and confirm vercel deployment works",https://github.com/tscircuit/circuitjson.com/issues/79,💎 Bounty;💰 Rewarded;$50,24,2026-04-30T04:58:29Z,$50,crowded,"sponsor/maintainer bounty queue cleanup row: status, duplicate/noise risk, next action, contributor-facing note"
tscircuit/jlcsearch,92,Add `is_extended_promotional ` column to components (from data source),https://github.com/tscircuit/jlcsearch/issues/92,💎 Bounty;$75,38,2026-04-30T04:58:17Z,$75,crowded,"sponsor/maintainer bounty queue cleanup row: status, duplicate/noise risk, next action, contributor-facing note"
archestra-ai/archestra,4201,Ability to Export and Import Agent configurations,https://github.com/archestra-ai/archestra/issues/4201,💎 Bounty;$50,4,2026-04-30T04:23:00Z,$50,active,"sponsor/maintainer bounty queue cleanup row: status, duplicate/noise risk, next action, contributor-facing note"
