account_repo,deprecated_signal,evidence_url,stars,last_pushed,buyer_fit_note,risk_flag,recommended_channel,first_action
MvvmCross/MvvmCross,matchPackagePatterns,https://github.com/MvvmCross/MvvmCross/blob/ac001e2a95ef4189b9bc0f23941a45f646ad8959/renovate.json,3914,2026-04-30,devtool/framework,normal OSS-fit; verify no maintainer policy first,public PR proof,"Offer one-file Renovate config migration diagnostic; no dependency bumps, no secrets, maintainer may close."
dotansimha/graphql-code-generator,matchPackagePatterns,https://github.com/dotansimha/graphql-code-generator/blob/f725015c44cae9babc389280c62c262e53ccdc0f/renovate.json,11238,2026-04-30,devtool/framework,large/corporate; avoid sales comment,owned sample / cautious public PR only,"Offer one-file Renovate config migration diagnostic; no dependency bumps, no secrets, maintainer may close."
adobe-type-tools/afdko,matchPackagePatterns,https://github.com/adobe-type-tools/afdko/blob/cd16e5e5b3e3e88ca4fe4ffd3629c954b117b74f/renovate.json,1162,2026-04-15,devtool/framework,large/corporate; avoid sales comment,public PR proof,"Offer one-file Renovate config migration diagnostic; no dependency bumps, no secrets, maintainer may close."
apollographql/apollo-client-devtools,matchPackagePatterns,https://github.com/apollographql/apollo-client-devtools/blob/7ff508236c670bca018a8c228299206514ff59a4/renovate.json,1525,2026-04-29,devtool/framework,normal OSS-fit; verify no maintainer policy first,public PR proof,"Offer one-file Renovate config migration diagnostic; no dependency bumps, no secrets, maintainer may close."
mui/toolpad,matchPackagePatterns,https://github.com/mui/toolpad/blob/3cbd50158044a8638d46aae9a7f9ff445e8e5598/renovate.json,1701,2026-04-29,devtool/framework,normal OSS-fit; verify no maintainer policy first,public PR proof,"Offer one-file Renovate config migration diagnostic; no dependency bumps, no secrets, maintainer may close."
Nailik/rhasspy_mobile,matchPackagePatterns,https://github.com/Nailik/rhasspy_mobile/blob/c913bb4b764012e0bb80edf64a37af3bde5cecb1/renovate.json,88,2026-04-28,maintenance-heavy OSS,normal OSS-fit; verify no maintainer policy first,public PR proof,"Offer one-file Renovate config migration diagnostic; no dependency bumps, no secrets, maintainer may close."
igorwojda/android-showcase,matchPackagePatterns,https://github.com/igorwojda/android-showcase/blob/a09e435e70b5a673388d4616046510801058477e/renovate.json,6756,2026-04-25,maintenance-heavy OSS,normal OSS-fit; verify no maintainer policy first,owned sample / cautious public PR only,"Offer one-file Renovate config migration diagnostic; no dependency bumps, no secrets, maintainer may close."
thriving-dev/kafka-streams-cassandra-state-store,matchPackagePatterns,https://github.com/thriving-dev/kafka-streams-cassandra-state-store/blob/58ce7fcf8f8ee8472a303aab6b165c23c07311a8/renovate.json,25,2026-04-30,maintenance-heavy OSS,normal OSS-fit; verify no maintainer policy first,public PR proof,"Offer one-file Renovate config migration diagnostic; no dependency bumps, no secrets, maintainer may close."
meziantou/Meziantou.Analyzer,matchPackagePatterns,https://github.com/meziantou/Meziantou.Analyzer/blob/532b9fd7bddfd4a80c6ebb3900200b97c3acabce/renovate.json,1124,2026-04-29,maintenance-heavy OSS,normal OSS-fit; verify no maintainer policy first,public PR proof,"Offer one-file Renovate config migration diagnostic; no dependency bumps, no secrets, maintainer may close."
petitstrawberry/argo-manifests,matchPackagePatterns,https://github.com/petitstrawberry/argo-manifests/blob/3edd34d7ce5d9cb60dfe993f7c2d156def19c44b/renovate.json,4,2026-04-29,maintenance-heavy OSS,normal OSS-fit; verify no maintainer policy first,public PR proof,"Offer one-file Renovate config migration diagnostic; no dependency bumps, no secrets, maintainer may close."
