public_issue,repo,title,integration_pain_tag,freshness,comments,lead_candidate_reason,risk_exclude_note,first_action_suggestion
https://github.com/X-RANKFLOW-MEDIA-GROUP/masseurmatch/issues/230,X-RANKFLOW-MEDIA-GROUP/masseurmatch,"GO LIVE BLOCKER: production closure for schema, auth, Stripe, dashboard and admin",stripe + supabase,2026-04-30,3,deadline/blocker wording,Public issue; verify maintainer/operator route before any outreach.,Package as a sourced row for integration-repair agencies; run live duplicate/route preflight before contact.
https://github.com/harvester/harvester/issues/10347,harvester/harvester,"[Help wanted] - Harvster 1.7.1 - Getting Error - admission webhook ""validator.harvesterhci.io"" denied the request: Can't",webhook,2026-04-23,21,public help-wanted label/text; 21 comments,Public issue; verify maintainer/operator route before any outreach.,Package as a sourced row for integration-repair agencies; run live duplicate/route preflight before contact.
https://github.com/anthropics/claude-code/issues/52871,anthropics/claude-code,"[BUG] MCP OAuth appends trailing slash to `resource` parameter, breaking Entra ID auth (AADSTS9010010)",oauth,2026-04-30,3,specific public integration failure/request,"Large vendor/support queue; use as ecosystem pain signal, not direct cold outreach.",Package as a sourced row for integration-repair agencies; run live duplicate/route preflight before contact.
https://github.com/cohenjo/trading-journal/issues/100,cohenjo/trading-journal,🧪 All-Pages Functional Sweep — Production Health Check,oauth + supabase,2026-04-30,3,specific public integration failure/request,Public issue; verify maintainer/operator route before any outreach.,Package as a sourced row for integration-repair agencies; run live duplicate/route preflight before contact.
https://github.com/anthropics/claude-code/issues/43606,anthropics/claude-code,[Bug] /mcp dialog does not refresh server status after OAuth authentication,oauth,2026-04-30,0,specific public integration failure/request,"Large vendor/support queue; use as ecosystem pain signal, not direct cold outreach.",Package as a sourced row for integration-repair agencies; run live duplicate/route preflight before contact.
https://github.com/Omni-guides/Jackify/issues/196,Omni-guides/Jackify,Bug: API key validation crashes with AttributeError ('APIKeyService' has no attribute 'validate_api_key'),api,2026-04-30,0,specific public integration failure/request,Public issue; verify maintainer/operator route before any outreach.,Package as a sourced row for integration-repair agencies; run live duplicate/route preflight before contact.
https://github.com/noorinalabs/noorinalabs-user-service/issues/73,noorinalabs/noorinalabs-user-service,bug: OAuth callback returns 500 on DB errors — handler should catch SQLAlchemyError,oauth + callback,2026-04-30,0,specific public integration failure/request,Public issue; verify maintainer/operator route before any outreach.,Package as a sourced row for integration-repair agencies; run live duplicate/route preflight before contact.
https://github.com/openclaw/openclaw/issues/71849,openclaw/openclaw,Realtime voice consult is too slow/fragile for live calls; add fast memory context path,twilio,2026-04-30,2,specific public integration failure/request,"Alce/OpenClaw-adjacent public issue; include as pattern/context only, not a direct sales route.",Package as a sourced row for integration-repair agencies; run live duplicate/route preflight before contact.
https://github.com/pingbeacon/beacon/issues/58,pingbeacon/beacon,SMS notification channel — Twilio provider end-to-end,twilio,2026-04-30,1,specific public integration failure/request,"Enhancement/broad feature; sell as lead-sheet context, not guaranteed bugfix buyer.",Package as a sourced row for integration-repair agencies; run live duplicate/route preflight before contact.
https://github.com/pingbeacon/beacon/issues/56,pingbeacon/beacon,SMS notifications via Twilio and AWS SNS,twilio + webhook + slack,2026-04-30,0,specific public integration failure/request,"Enhancement/broad feature; sell as lead-sheet context, not guaranteed bugfix buyer.",Package as a sourced row for integration-repair agencies; run live duplicate/route preflight before contact.
https://github.com/openclaw/openclaw/issues/72345,openclaw/openclaw,voice-call: CLI `voicecall call` cannot run when gateway is owning the webhook port,webhook,2026-04-30,3,specific public integration failure/request,"Alce/OpenClaw-adjacent public issue; include as pattern/context only, not a direct sales route.",Package as a sourced row for integration-repair agencies; run live duplicate/route preflight before contact.
https://github.com/openclaw/openclaw/issues/75197,openclaw/openclaw,[Bug]: voice-call OpenAI realtime transcription times out during Twilio media stream while direct WebSocket succeeds,twilio,2026-04-30,2,deadline/blocker wording,"Alce/OpenClaw-adjacent public issue; include as pattern/context only, not a direct sales route.",Package as a sourced row for integration-repair agencies; run live duplicate/route preflight before contact.
https://github.com/pingbeacon/beacon/issues/57,pingbeacon/beacon,Refactor notifier resolution to use the service container,twilio,2026-04-30,1,specific public integration failure/request,"Enhancement/broad feature; sell as lead-sheet context, not guaranteed bugfix buyer.",Package as a sourced row for integration-repair agencies; run live duplicate/route preflight before contact.
https://github.com/danieljoffe/danieljoffe.com/issues/573,danieljoffe/danieljoffe.com,"Wyrdfold: Twilio toll-free verification — opt-in flow, consent storage, legal pages",twilio,2026-04-30,0,deadline/blocker wording,"Enhancement/broad feature; sell as lead-sheet context, not guaranteed bugfix buyer.",Package as a sourced row for integration-repair agencies; run live duplicate/route preflight before contact.
https://github.com/openclaw/openclaw/issues/72478,openclaw/openclaw,Google Meet: support reliable headless agent join with audio/transcription health checks,api integration,2026-04-30,1,specific public integration failure/request,"Alce/OpenClaw-adjacent public issue; include as pattern/context only, not a direct sales route.",Package as a sourced row for integration-repair agencies; run live duplicate/route preflight before contact.
https://github.com/grace-shane/levis-superapp/issues/6,grace-shane/levis-superapp,Backlog — features parked beyond MVP,twilio + webhook + slack,2026-04-30,0,specific public integration failure/request,"Enhancement/broad feature; sell as lead-sheet context, not guaranteed bugfix buyer.",Package as a sourced row for integration-repair agencies; run live duplicate/route preflight before contact.
https://github.com/Expensify/App/issues/81358,Expensify/App,[Due for payment 2026-05-07] [$125] Missing NetSuite Reimbursement Audit Trail Entry in New Expensify,payment + slack,2026-04-30,22,22 comments,Crowded bounty/payment workflow; context row only unless a fresh bounty-lane preflight says otherwise.,Package as a sourced row for integration-repair agencies; run live duplicate/route preflight before contact.
https://github.com/Expensify/App/issues/65697,Expensify/App,[Due for payment 2026-05-07] [$250] We currently create Collect policies even when the account is on a Control plan with,payment + slack,2026-04-30,80,80 comments,Crowded bounty/payment workflow; context row only unless a fresh bounty-lane preflight says otherwise.,Package as a sourced row for integration-repair agencies; run live duplicate/route preflight before contact.
https://github.com/claude-builders-bounty/claude-builders-bounty/issues/5,claude-builders-bounty/claude-builders-bounty,[BOUNTY $200] WORKFLOW: n8n + Claude Code — automated weekly dev summary,api,2026-04-30,165,165 comments,Public issue; verify maintainer/operator route before any outreach.,Package as a sourced row for integration-repair agencies; run live duplicate/route preflight before contact.
