repo,issue_url,integration_pain_tag,freshness_utc,comments,lead_reason,risk_note,first_action_suggestion
X-RANKFLOW-MEDIA-GROUP/masseurmatch,https://github.com/X-RANKFLOW-MEDIA-GROUP/masseurmatch/issues/230,"Go-live blocker: auth + Stripe + dashboard/admin closure",2026-04-30,3,"GO LIVE BLOCKER plus stripe/auth/release labels imply urgent integration/release pain","Verify owner/maintainer route before any outreach","Offer fixed-scope closure checklist or ask whether they want public-data readiness triage"
UnTelevised-Media/untelevised-media-new,https://github.com/UnTelevised-Media/untelevised-media-new/issues/46,"Stripe + Supabase + Clerk e-commerce platform",2026-04-30,4,"Labels include stripe/auth/api/priority high/frontend/backend/ecommerce","Broad feature scope; not a bounty","Sell pre-build integration risk table, not code claim"
DK-Digital-Designs/skiip,https://github.com/DK-Digital-Designs/skiip/issues/29,"Scheduled orders launch: payments + notifications + database",2026-04-30,2,"priority:p0 plus payments/notifications/May launch language","Private/commercial project; budget unknown","Offer payment/notification blocker audit"
bytecrazelabs/franchiflow,https://github.com/bytecrazelabs/franchiflow/issues/34,"GoHighLevel order/transaction sync without Stripe",2026-04-30,1,"Direct sync/integration request with area:ghl and area:order","Feature request; paid intent unconfirmed","Position as GHL sync lead for consultants"
vasty-shop/vasty-shop,https://github.com/vasty-shop/vasty-shop/issues/25,"Pluggable provider/install tracking",2026-04-12,2,"Provider/install flexibility tracking issue found through Twilio/help-wanted integration search","Meta/tracking issue; manual qualification needed","Include in provider-integration monitoring pack"
teamatonce/teamatonce,https://github.com/teamatonce/teamatonce/issues/38,"Pluggable provider/install tracking",2026-04-12,2,"Comparable provider-tracking scope in separate repo","Meta/tracking issue; weak until role verified","Use as comparable row in consultant lead sheet"
zulip/zulip,https://github.com/zulip/zulip/issues/23118,"Incoming webhook integration for Linear issue tracking",2026-04-24,15,"help wanted integration request with incoming webhooks label","Already in progress; no duplicate implementation/sales note","Use as ecosystem demand row only"
getnao/nao,https://github.com/getnao/nao/issues/579,"Slack adapter invalid block responses",2026-04-21,5,"Specific Slack integration failure invalid_blocks","Needs route preflight","Lead for Slack bot/integration repair specialists"
amazeeio/amazee.ai,https://github.com/amazeeio/amazee.ai/issues/274,"Public API endpoint for model availability across regions",2026-04-30,12,"Active API feature demand with multiple comments","Enhancement, not bug; buyer intent unknown","Include in API-platform demand snapshot"
stripe/stripe-ruby,https://github.com/stripe/stripe-ruby/issues/1860,"Stripe thin webhook event object compatibility",2026-04-30,6,"Specific Stripe webhook SDK incompatibility","Vendor SDK issue; not direct paid lead","Use as ecosystem pain row for troubleshooting packages"
